,word,relevance_score
0,"('``', 'natural', 'capacities')",1.9923337980428708
1,"('natural', 'capacities', ""''"")",1.9923337980428708
2,"('capacities', ""''"", 'view')",1.8428961665048627
3,"('objection', 'claims', 'that')",1.4372453145541166
4,"('answer', 'would', 'support')",1.1082044805166653
5,"('would', 'support', 'claim')",1.1082044805166653
6,"('support', 'claim', 'central')",1.1082044805166653
7,"('human', 'being', ""''"")",1.1082044805166653
8,"(""''"", 'philosophy', 'public')",1.1082044805166653
9,"('philosophy', 'public', 'affairs')",1.1082044805166653
10,"(""''"", '{', '{')",1.973701956015966e-05
11,"('canadian', 'journal', 'philosophy')",1.973701956015966e-05
12,"('future', 'like', 'ours')",1.973701956015966e-05
13,"('complex', 'mental', 'qualities')",1.973701956015966e-05
14,"('|journal', 'help', 'pojman')",1.973701956015966e-05
15,"('brain', 'birth', ""''"")",1.973701956015966e-05
16,"('``', 'human', 'being')",1.973701956015966e-05
17,"('``', 'brain', 'birth')",1.973701956015966e-05
18,"('body', 'lifesupport', 'functions')",1.973701956015966e-05
19,"('help', 'pojman', 'beckwith')",1.973701956015966e-05
20,"('embryo', 'right', 'life')",1.973701956015966e-05
21,"('have', 'future', 'value')",9.737123127617035e-06
22,"('experiments', 'involving', 'brain')",9.737123127617035e-06
23,"('thought', 'experiments', 'involving')",9.737123127617035e-06
24,"('embodied', 'mind', 'person')",9.737123127617035e-06
25,"('have', 'valuable', 'experiences')",9.737123127617035e-06
26,"('later', 'have', 'valuable')",9.737123127617035e-06
27,"('will', 'later', 'have')",9.737123127617035e-06
28,"('what', 'will', 'later')",9.737123127617035e-06
29,"('that', 'marquis', 'argument')",9.737123127617035e-06
30,"('claims', 'that', 'marquis')",9.737123127617035e-06
31,"('involving', 'brain', 'cerebrum')",9.737123127617035e-06
32,"('valuable', 'experiences', 'activities')",9.737123127617035e-06
33,"('hence', 'seriously', 'wrong')",9.737123127617035e-06
34,"('being', 'raised', 'unloving')",9.737123127617035e-06
35,"('intense', 'physical', 'pain')",9.737123127617035e-06
36,"('with', 'intense', 'physical')",9.737123127617035e-06
37,"('filled', 'with', 'intense')",9.737123127617035e-06
38,"('future', 'filled', 'with')",9.737123127617035e-06
39,"('killing', 'child', 'adult')",9.737123127617035e-06
40,"('claims', 'that', 'what')",9.737123127617035e-06
41,"('highly', 'valuable', 'future')",9.737123127617035e-06
42,"('activities', 'projects', 'enjoyments')",9.737123127617035e-06
43,"('experiences', 'activities', 'projects')",9.737123127617035e-06
44,"('adult', 'human', 'being')",9.737123127617035e-06
45,"('raised', 'unloving', 'family')",9.737123127617035e-06
46,"('would', 'under', 'ideal')",9.737123127617035e-06
47,"('unplugging', 'violinist', 'merely')",9.737123127617035e-06
48,"('conditions', 'desire', 'preserve')",9.737123127617035e-06
49,"('reprinted', 'mappes', 'degrazia')",9.737123127617035e-06
