,word,relevance_score
0,"('abortion', 'should', '``')",1.4778169004634456
1,"('mexico', 'city', 'policy')",1.1555956947551242
2,"('that', 'abortion', 'should')",1.1555956947551242
3,"(""''"", 'that', 'should')",2.01348697132037e-05
4,"('should', 'allowed', '``')",2.01348697132037e-05
5,"('cases', ""''"", 'said')",2.01348697132037e-05
6,"('fetus', 'right', 'life')",2.01348697132037e-05
7,"('according', 'this', 'argument')",2.01348697132037e-05
8,"('lacks', 'right', 'life')",2.01348697132037e-05
9,"('fetus', 'does', 'have')",2.01348697132037e-05
10,"('abortion', 'morally', 'wrong')",2.01348697132037e-05
11,"('argue', 'that', 'abortion')",2.01348697132037e-05
12,"('``', 'prochoice', ""''"")",2.01348697132037e-05
13,"('with', 'right', 'life')",2.01348697132037e-05
14,"('adult', 'into', 'which')",1.0134968061330877e-05
15,"('they', 'believe', 'abortion')",1.0134968061330877e-05
16,"('should', 'legal', 'circumstances')",1.0134968061330877e-05
17,"('turns', 'that', 'fetus')",1.0134968061330877e-05
18,"('right', 'life', 'then')",1.0134968061330877e-05
19,"('future', 'like', 'ours')",1.0134968061330877e-05
20,"('that', 'fetus', 'does')",1.0134968061330877e-05
21,"('which', 'will', 'develop')",1.0134968061330877e-05
22,"('into', 'which', 'will')",1.0134968061330877e-05
23,"('same', 'moral', 'category')",1.0134968061330877e-05
24,"('particular', 'levels', 'physical')",1.0134968061330877e-05
25,"('wrong', 'because', 'deprives')",1.0134968061330877e-05
26,"('morally', 'wrong', 'because')",1.0134968061330877e-05
27,"('that', 'human', 'life')",1.0134968061330877e-05
28,"('physical', 'psychological', 'development')",1.0134968061330877e-05
29,"('levels', 'physical', 'psychological')",1.0134968061330877e-05
30,"('circumstances', 'that', 'should')",1.0134968061330877e-05
31,"('legal', 'status', 'abortion')",1.0134968061330877e-05
32,"('pregnancies', 'ending', 'abortion')",1.0134968061330877e-05
33,"('unintended', 'pregnancies', 'ending')",1.0134968061330877e-05
34,"('proportion', 'unintended', 'pregnancies')",1.0134968061330877e-05
35,"('adult', 'human', 'being')",1.0134968061330877e-05
36,"('that', 'should', 'legal')",1.0134968061330877e-05
37,"('thought', 'that', 'abortion')",1.0134968061330877e-05
38,"('should', '``', 'legal')",1.0134968061330877e-05
39,"('david', 'degrazia', 'mcgrawhill')",1.0134968061330877e-05
40,"('ethics', 'david', 'degrazia')",1.0134968061330877e-05
41,"('mappes', 'biomedical', 'ethics')",1.0134968061330877e-05
42,"('thomas', 'mappes', 'biomedical')",1.0134968061330877e-05
43,"(""''"", 'thomas', 'mappes')",1.0134968061330877e-05
44,"('bioethics', 'doijx', 'pmid')",1.0134968061330877e-05
45,"(""''"", 'bioethics', 'doijx')",1.0134968061330877e-05
46,"(""''"", 'journal', 'philosophy')",1.0134968061330877e-05
47,"('abortion', 'immoral', ""''"")",1.0134968061330877e-05
48,"('why', 'abortion', 'immoral')",1.0134968061330877e-05
49,"('said', 'that', 'abortion')",1.0134968061330877e-05
